0.355973,0.757846,0.014393,0.116073,0.046003,0.040729,0.855461,0.703658,0.474174,0.097834
0.491616,0.473472,0.173202,0.433852,0.398505,0.615850,0.635094,0.045304,0.374613,0.625860
0.503136,0.856490,0.658694,0.162934,0.070569,0.642419,0.026511,0.585776,0.940230,0.575474
0.388170,0.643288,0.458253,0.545617,0.941465,0.386103,0.961191,0.905351,0.195791,0.069361
0.100778,0.018222,0.094443,0.683007,0.071189,0.318976,0.844875,0.023272,0.814468,0.281855
0.118165,0.696737,0.628943,0.877472,0.735071,0.803481,0.282035,0.177440,0.750615,0.806835
0.990505,0.412618,0.372018,0.776413,0.340804,0.930757,0.858413,0.428994,0.750871,0.754543
0.103124,0.902553,0.505252,0.826457,0.320050,0.895523,0.389202,0.010838,0.905382,0.091287
0.319314,0.950062,0.950607,0.573438,0.631837,0.448446,0.293211,0.328665,0.672518,0.752375
0.791579,0.789618,0.091206,0.494420,0.057559,0.549529,0.441531,0.887704,0.350915,0.117067
0.142992,0.761511,0.618218,0.101123,0.084107,0.700969,0.072763,0.821860,0.706242,0.081349
0.084838,0.986640,0.374271,0.370642,0.812800,0.947249,0.986001,0.753378,0.376260,0.083501
0.777147,0.558404,0.424222,0.906354,0.111197,0.492625,0.011354,0.468661,0.056303,0.118818
0.117526,0.649210,0.746045,0.583369,0.962173,0.374871,0.285712,0.868599,0.223596,0.963223
0.012154,0.969879,0.043160,0.891143,0.527701,0.992965,0.073797,0.553854,0.969303,0.523098
0.629399,0.695749,0.454541,0.627558,0.584314,0.901158,0.045446,0.280963,0.950411,0.890264
0.455657,0.620133,0.277381,0.188121,0.463698,0.353352,0.583656,0.077735,0.974395,0.986211
0.698162,0.536096,0.309528,0.813795,0.684731,0.162617,0.910927,0.822537,0.949800,0.725720
0.613415,0.418243,0.932728,0.866064,0.045219,0.026367,0.376463,0.810553,0.987276,0.150417
0.594131,0.380891,0.969914,0.842119,0.838329,0.468693,0.414820,0.273407,0.056375,0.864722
0.812901,0.999718,0.996637,0.555432,0.768987,0.944766,0.849647,0.247348,0.450544,0.129159
0.954051,0.606175,0.228643,0.671701,0.618128,0.358163,0.113558,0.671573,0.520308,0.772318
0.520164,0.852182,0.551907,0.560938,0.876654,0.403483,0.134015,0.028783,0.755137,0.620310
0.704080,0.212964,0.136371,0.014545,0.350588,0.589918,0.392244,0.437475,0.904159,0.348255
0.513989,0.783653,0.396543,0.622087,0.862364,0.949521,0.147073,0.926588,0.492116,0.258244
0.459136,0.980033,0.492618,0.328752,0.633401,0.240146,0.075863,0.128880,0.128046,0.151903
0.138827,0.640875,0.181880,0.345667,0.896788,0.473962,0.667558,0.172320,0.192289,0.040869
0.168935,0.278590,0.177010,0.088703,0.120636,0.460779,0.206334,0.364270,0.503417,0.690395
0.039312,0.799410,0.627900,0.081759,0.873579,0.920872,0.061078,0.276878,0.806201,0.748260
0.184521,0.209349,0.370472,0.484523,0.618255,0.368914,0.462535,0.747471,0.036683,0.252437
0.713350,0.895207,0.511677,0.532113,0.107172,0.447412,0.532617,0.242471,0.269243,0.377284
0.020071,0.322079,0.211448,0.327497,0.119762,0.890527,0.593592,0.679102,0.789171,0.498442
0.086920,0.537107,0.586841,0.745439,0.431660,0.127580,0.283776,0.363082,0.645917,0.570778
0.356097,0.986515,0.605775,0.237227,0.101782,0.152859,0.245958,0.160681,0.186567,0.285095
0.173374,0.896765,0.080234,0.524511,0.410397,0.982379,0.112039,0.397856,0.969470,0.865507
0.817072,0.257903,0.170888,0.668643,0.929376,0.556763,0.571613,0.279979,0.769493,0.187044
0.323679,0.425436,0.507610,0.242410,0.114837,0.610620,0.288631,0.581238,0.154363,0.481140
0.532589,0.051824,0.336604,0.134415,0.063375,0.989960,0.322354,0.809874,0.254641,0.681503
0.760228,0.595639,0.471576,0.411841,0.348868,0.929529,0.830619,0.965027,0.124297,0.730867
0.938340,0.181233,0.066496,0.741121,0.574473,0.841829,0.139772,0.795267,0.201627,0.163656
0.164266,0.814575,0.665197,0.523065,0.358830,0.877201,0.392445,0.816599,0.439135,0.376944
0.462680,0.301378,0.747609,0.502720,0.232213,0.899575,0.383891,0.543553,0.906472,0.624238
0.116898,0.939832,0.627708,0.334906,0.139272,0.794025,0.620073,0.533461,0.893893,0.788597
0.151675,0.311722,0.248489,0.743946,0.033532,0.569890,0.762459,0.876766,0.342082,0.821257
0.110632,0.846452,0.127489,0.397287,0.797295,0.149917,0.229251,0.722253,0.720037,0.641148
0.693948,0.542724,0.251799,0.345696,0.181598,0.908451,0.583392,0.400851,0.462006,0.947283
0.153351,0.586230,0.505889,0.611454,0.018110,0.872124,0.932118,0.565133,0.696651,0.922499
0.707239,0.152539,0.576288,0.606715,0.424131,0.736444,0.934367,0.925569,0.450839,0.113238
0.984841,0.838898,0.124663,0.920842,0.869896,0.518838,0.591275,0.399003,0.054762,0.335197
0.802853,0.004632,0.333499,0.398169,0.537396,0.919856,0.346346,0.346953,0.737501,0.452218
0.224605,0.452440,0.140857,0.176387,0.498368,0.418925,0.914846,0.362394,0.580588,0.632264
0.013094,0.663537,0.178036,0.961070,0.148663,0.414624,0.085350,0.996874,0.502195,0.595385
0.067076,0.749960,0.209906,0.898054,0.205140,0.190688,0.036550,0.472067,0.564841,0.065709
0.775528,0.453289,0.524390,0.440763,0.400763,0.559640,0.155240,0.181928,0.861786,0.946115
0.373309,0.270745,0.644000,0.408734,0.025386,0.156153,0.715972,0.658924,0.027096,0.221972
0.231075,0.671893,0.019711,0.104109,0.799916,0.178545,0.652746,0.238183,0.099441,0.243172
0.722267,0.855696,0.830220,0.397184,0.668085,0.204984,0.293148,0.896336,0.013002,0.085509
0.207886,0.026532,0.181435,0.583042,0.421425,0.892672,0.817444,0.341817,0.259423,0.379692
0.590295,0.268064,0.624149,0.409412,0.552047,0.436127,0.294466,0.948453,0.763606,0.140113
0.868468,0.487431,0.894552,0.799855,0.425214,0.022469,0.268677,0.541634,0.633478,0.257888
0.139356,0.834930,0.984402,0.525690,0.171679,0.272307,0.018391,0.914299,0.117751,0.576516
0.274055,0.554178,0.651420,0.829742,0.206421,0.010996,0.136886,0.900019,0.873890,0.597413
0.600517,0.665037,0.175371,0.914412,0.418771,0.383139,0.518918,0.046966,0.166283,0.738034
0.082799,0.603152,0.245349,0.389296,0.288694,0.355673,0.719046,0.297122,0.566405,0.476050
0.663671,0.936830,0.732572,0.214940,0.031183,0.262264,0.595078,0.051426,0.496366,0.596843
0.334244,0.770912,0.106598,0.075138,0.728189,0.495491,0.688402,0.434827,0.246402,0.819102
0.799416,0.694696,0.272145,0.590231,0.360974,0.091582,0.917314,0.136819,0.950237,0.446006
0.185133,0.541901,0.872946,0.732225,0.806561,0.658783,0.692277,0.849196,0.249668,0.489425
0.221209,0.987668,0.944059,0.039427,0.705575,0.925248,0.180575,0.567945,0.915488,0.033946
0.697420,0.297349,0.924396,0.971058,0.944266,0.474214,0.862043,0.844549,0.319100,0.828915
0.037008,0.596270,0.230009,0.120567,0.076953,0.696289,0.339875,0.724767,0.065356,0.315290
0.539491,0.790723,0.318753,0.625891,0.885978,0.615863,0.232959,0.024401,0.870099,0.021269
0.874702,0.528937,0.939068,0.798783,0.997934,0.350712,0.767188,0.401931,0.479876,0.627505
0.873677,0.984083,0.768273,0.417767,0.421357,0.737582,0.238777,0.110474,0.354622,0.287239
0.296308,0.233608,0.042093,0.017874,0.987722,0.427773,0.384327,0.679647,0.218254,0.949961
0.786345,0.089411,0.417581,0.879118,0.944732,0.467402,0.613411,0.167034,0.991169,0.231672
0.942732,0.649647,0.607737,0.512689,0.230670,0.176528,0.220486,0.186438,0.779584,0.350125
0.057843,0.969103,0.883786,0.927752,0.994908,0.173895,0.396242,0.758238,0.696021,0.153896
0.815833,0.224441,0.223818,0.536974,0.592940,0.580086,0.091487,0.877461,0.265600,0.129515
0.888748,0.955651,0.862128,0.809516,0.655242,0.550857,0.086987,0.408453,0.372689,0.259754
0.723420,0.495876,0.081046,0.220183,0.683259,0.076131,0.851207,0.495147,0.480587,0.592408
0.824681,0.347809,0.678016,0.565732,0.267028,0.878630,0.797426,0.658452,0.850582,0.867294
0.708363,0.837013,0.697471,0.680141,0.618611,0.752717,0.158605,0.880871,0.871844,0.029247
0.825817,0.128870,0.335119,0.743508,0.160760,0.817967,0.832134,0.507468,0.006386,0.287038
0.616927,0.981186,0.631814,0.259804,0.634006,0.539985,0.779845,0.106981,0.761028,0.541267
0.962992,0.341872,0.632622,0.932028,0.102510,0.937228,0.687886,0.067837,0.300964,0.708172
0.067351,0.582170,0.345883,0.620916,0.045742,0.871537,0.973489,0.968878,0.749652,0.130086
0.758263,0.024587,0.022124,0.323610,0.488643,0.770407,0.683295,0.445903,0.273627,0.997125
0.426181,0.451387,0.163624,0.794810,0.693682,0.220770,0.082381,0.680499,0.654511,0.273260
0.950864,0.151058,0.432335,0.943616,0.419727,0.638526,0.397594,0.274215,0.983978,0.409334
0.894099,0.229955,0.213105,0.031134,0.651667,0.368526,0.864358,0.473210,0.968193,0.185526
0.868623,0.776597,0.770922,0.844783,0.761024,0.626220,0.131245,0.032526,0.920848,0.616650
0.796537,0.481522,0.117308,0.125186,0.685565,0.430306,0.200525,0.491595,0.064209,0.581971
0.268993,0.797559,0.310362,0.455220,0.011621,0.072447,0.392494,0.479939,0.600021,0.291663
0.694982,0.860122,0.779851,0.039619,0.480507,0.104930,0.242045,0.986663,0.142496,0.498888
0.618156,0.702465,0.559649,0.009771,0.326461,0.517712,0.087866,0.350627,0.033203,0.078578
0.396923,0.132716,0.567541,0.689465,0.800587,0.200150,0.167483,0.104568,0.636430,0.706476
0.031586,0.936212,0.051971,0.541296,0.709061,0.870969,0.714087,0.801728,0.339450,0.814825
0.080115,0.894817,0.547592,0.817298,0.452318,0.643578,0.526403,0.731590,0.081630,0.060352
0.247103,0.159545,0.871784,0.219214,0.975865,0.336896,0.182118,0.789699,0.658708,0.498196
0.555364,0.719202,0.228455,0.996334,0.974793,0.650326,0.199542,0.680228,0.072198,0.030653
0.257683,0.462623,0.868273,0.727169,0.742707,0.425493,0.345935,0.371039,0.987650,0.040109
0.867031,0.578675,0.438615,0.725258,0.486669,0.873423,0.900702,0.421721,0.276828,0.592350
0.912363,0.210662,0.622967,0.631560,0.733113,0.131568,0.715825,0.909033,0.179683,0.237543
0.971395,0.180977,0.854385,0.492278,0.247231,0.870750,0.445305,0.514817,0.359233,0.592951
0.163524,0.391082,0.969412,0.258133,0.656737,0.325190,0.773473,0.130874,0.969821,0.453790
0.236050,0.073497,0.169758,0.519774,0.337003,0.828883,0.430888,0.248714,0.617145,0.706777
0.167042,0.167619,0.036671,0.736402,0.663805,0.474631,0.844170,0.805670,0.585354,0.868271
0.205841,0.111920,0.269750,0.057087,0.531170,0.936606,0.039344,0.122110,0.452199,0.933875
0.316156,0.507235,0.041573,0.148343,0.986630,0.965119,0.004940,0.951812,0.639120,0.867918
0.454740,0.515596,0.488847,0.666864,0.139651,0.029974,0.307930,0.704681,0.201853,0.673432
0.969912,0.093901,0.672602,0.443750,0.868142,0.177150,0.692626,0.838115,0.944614,0.683248
0.497175,0.617847,0.868905,0.570610,0.030387,0.930949,0.689527,0.676513,0.215675,0.658885
0.393864,0.651233,0.106593,0.657845,0.999414,0.048212,0.977174,0.406908,0.870753,0.782385
0.567016,0.738449,0.878516,0.404140,0.327033,0.667593,0.807846,0.762285,0.797814,0.435583
0.817834,0.120209,0.544489,0.005759,0.324586,0.366462,0.396173,0.695467,0.388558,0.448694
0.237544,0.373252,0.227270,0.073196,0.603449,0.668213,0.619490,0.463494,0.379786,0.863334
0.519082,0.479182,0.025642,0.341248,0.380196,0.398823,0.580172,0.533603,0.607905,0.764883
0.812986,0.718123,0.955524,0.018233,0.195778,0.007563,0.647475,0.898031,0.243482,0.927035
0.060267,0.934436,0.351623,0.101421,0.485872,0.256777,0.284873,0.307290,0.803026,0.539161
0.311308,0.610334,0.716151,0.272624,0.413549,0.121886,0.181149,0.681118,0.181438,0.525163
0.709046,0.106877,0.567312,0.256563,0.962927,0.483546,0.805993,0.550227,0.043413,0.633151
0.951403,0.601612,0.819189,0.884206,0.228080,0.212045,0.610981,0.411028,0.839861,0.900023
0.353421,0.236871,0.780526,0.274806,0.822614,0.423738,0.667550,0.095535,0.623859,0.451768
0.586608,0.168014,0.736874,0.862797,0.216740,0.095715,0.023639,0.641972,0.607094,0.546697
0.231947,0.390906,0.594476,0.496767,0.987786,0.136440,0.695145,0.404319,0.428200,0.717598
0.692436,0.991256,0.128394,0.104110,0.724339,0.578387,0.274161,0.079419,0.085658,0.894191
0.191867,0.323372,0.226656,0.354996,0.069424,0.519060,0.067613,0.800357,0.233712,0.540012
0.880079,0.650877,0.532958,0.324334,0.333002,0.669487,0.994139,0.661839,0.557783,0.730651
0.465206,0.060142,0.562297,0.957625,0.175303,0.690005,0.200934,0.535828,0.096676,0.450371
0.756163,0.347572,0.664912,0.795450,0.927178,0.234642,0.399316,0.152416,0.992484,0.927001
0.539957,0.842033,0.520958,0.623586,0.089124,0.755270,0.127713,0.826068,0.782028,0.708745
0.036160,0.303128,0.263113,0.360136,0.087643,0.936958,0.553802,0.305524,0.396982,0.447203
0.600594,0.515679,0.919392,0.496963,0.992158,0.851425,0.208511,0.930595,0.116366,0.817450
0.380623,0.877974,0.868057,0.805925,0.790030,0.304679,0.080919,0.402980,0.173525,0.694951
0.346100,0.975610,0.640972,0.822481,0.132525,0.862014,0.922757,0.487062,0.606253,0.764810
0.174839,0.502566,0.398663,0.146374,0.367534,0.068172,0.025812,0.135166,0.963115,0.549530
0.965822,0.432498,0.311816,0.506142,0.439512,0.105665,0.640826,0.216038,0.619588,0.650201
0.152025,0.061350,0.780762,0.459800,0.058164,0.994866,0.057781,0.695035,0.983679,0.239180
0.142249,0.121385,0.303275,0.101046,0.692161,0.062292,0.509422,0.996697,0.813970,0.615219
0.306254,0.623896,0.527041,0.426083,0.130710,0.886604,0.449785,0.194623,0.367759,0.414130
0.827538,0.733614,0.769305,0.011031,0.416154,0.481344,0.019192,0.259813,0.760290,0.137110
0.535310,0.215202,0.012121,0.241201,0.975874,0.801537,0.959577,0.487854,0.109736,0.547959
0.454377,0.844357,0.098083,0.488241,0.150049,0.324676,0.737357,0.476018,0.375888,0.394476
0.459447,0.785017,0.892085,0.955335,0.786903,0.315407,0.688135,0.437603,0.254671,0.840872
0.038426,0.901762,0.461477,0.637201,0.659354,0.895118,0.636670,0.613934,0.066652,0.518408
0.150169,0.737434,0.512222,0.680228,0.041673,0.084792,0.716323,0.072084,0.071257,0.012108
0.956501,0.737508,0.353251,0.296536,0.349703,0.774654,0.661371,0.185196,0.174109,0.098396
0.660303,0.764373,0.265046,0.020945,0.082172,0.967860,0.295445,0.769223,0.624664,0.381940
0.205687,0.121386,0.615013,0.774634,0.643904,0.530302,0.041951,0.968489,0.798714,0.292822
0.979970,0.601882,0.582423,0.748073,0.811770,0.656479,0.128096,0.338268,0.928084,0.224616
0.372167,0.432077,0.439405,0.612940,0.943076,0.240693,0.121501,0.197470,0.886925,0.645811
0.285907,0.815947,0.861370,0.846514,0.918927,0.252241,0.755042,0.460539,0.841999,0.728491
0.776447,0.656162,0.177429,0.545027,0.984670,0.937388,0.043174,0.164815,0.131729,0.725980
0.817785,0.213511,0.505853,0.840703,0.732802,0.542237,0.590348,0.508361,0.297548,0.565022
0.688885,0.873323,0.636291,0.761122,0.160072,0.461557,0.009332,0.246679,0.726462,0.991810
0.099178,0.401494,0.800071,0.204036,0.555085,0.733071,0.615985,0.188025,0.355385,0.783792
0.554227,0.005230,0.760991,0.035311,0.745734,0.202481,0.958073,0.367941,0.326932,0.148888
0.305604,0.876651,0.996334,0.368310,0.448611,0.722071,0.886196,0.593044,0.391526,0.412622
0.695618,0.003218,0.619589,0.355493,0.794197,0.092991,0.588202,0.480973,0.642326,0.064854
0.579984,0.561485,0.560660,0.603488,0.676468,0.804989,0.269821,0.825049,0.498256,0.077058
0.058551,0.334238,0.784897,0.707681,0.788615,0.517269,0.440199,0.147453,0.328193,0.434019
0.088600,0.220612,0.598225,0.735663,0.998348,0.933113,0.642565,0.421248,0.636177,0.785652
0.118336,0.409905,0.839802,0.383833,0.571872,0.587769,0.184476,0.362235,0.334511,0.026197
0.024192,0.831697,0.273071,0.518079,0.298726,0.940679,0.259297,0.429657,0.872730,0.841934
0.186101,0.802643,0.458187,0.482969,0.133480,0.080602,0.727939,0.496461,0.436851,0.729508
0.765513,0.158908,0.610225,0.135354,0.751375,0.656955,0.956615,0.068958,0.057055,0.282187
0.261706,0.246979,0.906255,0.249546,0.271950,0.759398,0.449740,0.776711,0.065366,0.487571
0.033614,0.062653,0.906437,0.139245,0.532421,0.411096,0.347343,0.899833,0.021823,0.663790
0.963394,0.560168,0.936822,0.052258,0.418793,0.260158,0.730821,0.981297,0.256530,0.654175
0.198098,0.565330,0.463932,0.972005,0.608527,0.349506,0.114096,0.151247,0.225317,0.250967
0.850616,0.561223,0.523391,0.114769,0.860140,0.722814,0.067668,0.707835,0.543538,0.081725
0.458301,0.484696,0.165775,0.945698,0.849975,0.669022,0.462296,0.411766,0.650973,0.545432
0.062273,0.512503,0.806404,0.459240,0.051957,0.786278,0.201364,0.258621,0.164706,0.330215
0.756752,0.519386,0.204881,0.877830,0.879582,0.870578,0.238796,0.451239,0.984990,0.772012
0.027167,0.065205,0.463931,0.909220,0.538702,0.497813,0.105474,0.656780,0.822103,0.380420
0.775612,0.964477,0.203766,0.523330,0.287138,0.792854,0.577593,0.634582,0.797914,0.395970
0.915090,0.533029,0.157955,0.695899,0.793261,0.316762,0.857179,0.906143,0.276904,0.983521
0.140712,0.202016,0.184225,0.893990,0.654293,0.152104,0.440323,0.615298,0.083464,0.882416
0.803604,0.505207,0.967127,0.417761,0.984110,0.667920,0.634671,0.165955,0.881928,0.427490
0.162233,0.012608,0.559756,0.527400,0.719354,0.890258,0.079407,0.731496,0.187412,0.858177
0.819064,0.540794,0.710243,0.314350,0.471168,0.821637,0.459265,0.357798,0.494212,0.828249
0.335208,0.173762,0.712014,0.825978,0.100637,0.239874,0.141972,0.347941,0.450351,0.748826
0.651148,0.620929,0.352375,0.841448,0.471287,0.979105,0.634142,0.126265,0.676178,0.325104
0.686327,0.069641,0.174881,0.855737,0.227180,0.837041,0.279276,0.642882,0.694151,0.512655
0.305311,0.212644,0.033189,0.303946,0.653163,0.938305,0.871204,0.766065,0.788447,0.664985
0.260287,0.907195,0.670732,0.560441,0.110989,0.447056,0.460358,0.864564,0.546648,0.380401
0.976800,0.110721,0.422548,0.042025,0.739904,0.918077,0.280037,0.858342,0.292218,0.910770
0.753962,0.804907,0.018007,0.962810,0.726671,0.304751,0.829395,0.281521,0.872754,0.112580
0.703686,0.540698,0.096534,0.241894,0.012404,0.468768,0.301265,0.598357,0.297238,0.299919
0.743193,0.048143,0.902895,0.852264,0.667805,0.593222,0.892302,0.185330,0.078969,0.239510
0.794578,0.034670,0.582807,0.995438,0.855696,0.521446,0.063641,0.831374,0.598979,0.114933
0.093857,0.909627,0.669200,0.829287,0.878979,0.571772,0.517446,0.430427,0.316947,0.434596
0.773880,0.601923,0.892523,0.443380,0.607090,0.631308,0.591697,0.702634,0.237433,0.512364
0.104225,0.384511,0.487667,0.652224,0.950531,0.600651,0.743594,0.506266,0.634104,0.070932
0.254392,0.361853,0.472493,0.045649,0.140024,0.276814,0.971533,0.331347,0.482041,0.196098
0.610780,0.280683,0.206993,0.516573,0.005506,0.007664,0.219069,0.036721,0.108026,0.338861
0.802586,0.572049,0.512668,0.293489,0.931754,0.397015,0.087093,0.617067,0.113838,0.345223
0.507412,0.874223,0.493547,0.702259,0.992817,0.131489,0.274732,0.394576,0.421828,0.411021
0.907611,0.714033,0.607905,0.309373,0.823790,0.955061,0.821198,0.001565,0.636401,0.051135
0.257607,0.059525,0.603795,0.686590,0.114488,0.383839,0.456237,0.369053,0.121025,0.418948
0.751178,0.071008,0.080180,0.354771,0.941726,0.668573,0.678670,0.361920,0.593661,0.010131
0.636096,0.913287,0.612573,0.873699,0.723973,0.120558,0.902453,0.066444,0.533967,0.142137
0.011707,0.422034,0.295041,0.486000,0.577200,0.043739,0.123003,0.558642,0.343167,0.729173
0.652292,0.845604,0.692493,0.429931,0.672967,0.275381,0.306313,0.788985,0.446420,0.798380
0.822422,0.857562,0.916635,0.430985,0.318867,0.582199,0.371172,0.601074,0.705586,0.688405
0.374553,0.166860,0.430529,0.142594,0.890097,0.345877,0.154460,0.025448,0.645822,0.636902
0.340604,0.071712,0.409629,0.311217,0.677121,0.605779,0.364594,0.217893,0.988036,0.454002
0.688274,0.140553,0.485590,0.027537,0.505455,0.964017,0.384207,0.038996,0.030956,0.387987
0.160025,0.023352,0.756214,0.458523,0.289245,0.900083,0.116139,0.955919,0.313967,0.888404
0.602943,0.826707,0.984013,0.288405,0.961135,0.389482,0.385512,0.340387,0.541408,0.154145
0.553711,0.541705,0.761902,0.833650,0.440441,0.302333,0.259335,0.194624,0.057648,0.342448
0.270248,0.966417,0.557709,0.347277,0.580468,0.139197,0.444044,0.626234,0.488898,0.401779
0.993848,0.880315,0.623406,0.569377,0.620660,0.201312,0.395138,0.039460,0.475546,0.543025
0.227750,0.964029,0.909455,0.722143,0.533387,0.869969,0.130652,0.790510,0.124821,0.794211
0.275768,0.877091,0.944042,0.148796,0.462676,0.980987,0.483407,0.863548,0.588732,0.375330
0.285784,0.203223,0.761798,0.386541,0.511275,0.492325,0.577279,0.865577,0.980739,0.407584
0.827519,0.764528,0.573529,0.956047,0.200475,0.109264,0.853962,0.439150,0.846969,0.893090
0.062458,0.883465,0.448319,0.510432,0.626593,0.926383,0.019116,0.476843,0.687722,0.722707
0.692532,0.134435,0.299396,0.358716,0.804437,0.278760,0.210705,0.957448,0.008863,0.997821
0.676821,0.828469,0.294619,0.014315,0.737870,0.834145,0.740476,0.142850,0.753428,0.768923
0.658541,0.766116,0.845921,0.613604,0.088605,0.487628,0.077649,0.407543,0.407106,0.066010
0.348821,0.110998,0.808235,0.947688,0.072316,0.955115,0.522577,0.299566,0.076862,0.500624
0.794516,0.707086,0.050226,0.072902,0.402873,0.295290,0.232384,0.281004,0.803483,0.929228
0.405103,0.906111,0.321496,0.476437,0.226029,0.640476,0.978981,0.603493,0.357814,0.647817
0.122921,0.888659,0.503084,0.449350,0.585865,0.624784,0.071776,0.682617,0.241932,0.713953
0.822535,0.803959,0.552501,0.520170,0.142876,0.775346,0.271409,0.496695,0.284274,0.133828
0.629558,0.054332,0.748645,0.317587,0.000135,0.511129,0.046852,0.276170,0.706976,0.062690
0.839338,0.003820,0.246824,0.740904,0.316270,0.101892,0.360234,0.270393,0.842712,0.313348
0.788932,0.891872,0.433817,0.909943,0.377318,0.964078,0.089290,0.687019,0.493814,0.387649
0.632712,0.703857,0.004363,0.166953,0.713046,0.666385,0.966048,0.761038,0.950773,0.702541
0.298052,0.105365,0.781824,0.644149,0.048186,0.360050,0.956800,0.500401,0.432729,0.457700
0.208883,0.368707,0.369813,0.052355,0.767568,0.416504,0.822180,0.850348,0.211994,0.657353
0.472282,0.880157,0.215741,0.677813,0.607752,0.295301,0.136601,0.651640,0.738597,0.315627
0.644833,0.395131,0.713207,0.199215,0.890215,0.287410,0.367786,0.058092,0.111512,0.515862
0.267593,0.835480,0.014693,0.379094,0.337346,0.019328,0.124368,0.413643,0.492865,0.404290
0.530938,0.595132,0.009924,0.464095,0.963499,0.519032,0.677542,0.311864,0.773991,0.772921
0.521296,0.976014,0.125550,0.016948,0.770158,0.807156,0.120207,0.265583,0.017552,0.293309
0.773142,0.517961,0.348096,0.371739,0.001354,0.299801,0.646459,0.974194,0.847061,0.023595
0.898561,0.783198,0.780376,0.457996,0.398005,0.302916,0.065695,0.228235,0.246604,0.484077
0.747444,0.473810,0.057844,0.957790,0.942724,0.785190,0.991328,0.544482,0.962768,0.075605
0.365681,0.225381,0.195833,0.140803,0.622414,0.781322,0.578298,0.146963,0.811124,0.635955
0.388166,0.674130,0.259905,0.345192,0.917486,0.290505,0.469988,0.890141,0.707721,0.062203
0.147303,0.007842,0.630922,0.447673,0.134275,0.957934,0.529660,0.241893,0.500604,0.679620
0.076239,0.274704,0.806965,0.459665,0.546577,0.432816,0.043900,0.165750,0.445542,0.209185
0.049979,0.843650,0.981193,0.793143,0.853785,0.241977,0.960627,0.196926,0.951430,0.994819
0.711723,0.981144,0.569540,0.259542,0.436996,0.593561,0.073082,0.622343,0.981178,0.190108
